P_NAME,P_HABZONE,P_TYPE_TEMP
HD 205739 b,0,Hot
HD 206255 b,0,
HD 206610 b,0,Hot
HD 20781 b,0,Hot
HD 20781 c,0,Hot
HD 20781 d,0,Hot
HD 20781 e,0,Hot
HD 20782 b,2,Warm
HD 207832 b,0,Hot
HD 207832 c,0,Cold
HD 20794 b,0,Hot
HD 20794 c,0,Hot
HD 20794 d,0,Hot
HD 20794 e,0,Hot
HD 208487 b,0,Hot
HD 208527 b,0,Hot
HD 20868 b,0,Cold
HD 208897 b,0,Hot
HD 209458 b,0,Hot
HD 210193 b,0,
HD 210277 b,2,Warm
HD 210702 b,0,Hot
HD 211810 b,0,Cold
HD 211970 b,0,
HD 212301 b,0,Hot
HD 212771 b,0,Hot
HD 213240 b,2,Warm
HD 21411 b,0,
HD 214823 b,2,Warm
HD 215152 b,0,Hot
HD 215152 c,0,Hot
HD 215152 d,0,Hot
HD 215152 e,0,Hot
HD 215497 b,0,Hot
HD 215497 c,0,Cold
HD 216435 b,2,Warm
HD 216437 b,1,Warm
HD 216536 b,0,Hot
HD 216770 b,0,Hot
HD 21693 b,0,Hot
HD 21693 c,0,Hot
HD 217107 b,0,Hot
HD 217107 c,0,Cold
HD 21749 c,0,Hot
HD 217786 b,0,Cold
HD 217850 b,0,Cold
HD 218566 b,2,Warm
HD 219077 b,0,Cold
HD 219134 b,0,Hot
HD 219134 c,0,Hot
HD 219134 d,0,Hot
HD 219134 f,0,Hot
HD 219134 g,0,Hot
HD 219134 h,0,Cold
HD 219415 b,2,Warm
HD 219666 b,0,Hot
HD 219828 b,0,Hot
HD 219828 c,0,Cold
HD 220074 b,0,Hot
HD 220689 b,0,Cold
HD 220773 b,0,Cold
HD 220842 b,0,Hot
HD 221287 b,2,Warm
HD 221416 b,0,Hot
HD 221420 b,0,Cold
HD 221585 b,2,Warm
HD 222076 b,0,Hot
HD 222155 b,0,Cold
HD 222582 b,2,Warm
HD 224538 b,2,Warm
HD 224693 b,0,Hot
HD 22781 b,0,Cold
HD 23079 b,2,Warm
HD 23127 b,2,Warm
HD 231701 b,0,Hot
HD 233604 b,0,Hot
HD 23472 b,0,
HD 23472 c,0,
HD 23596 b,1,Warm
HD 238914 b,0,Hot
HD 240210 b,0,Hot
HD 240237 b,0,Hot
HD 24040 b,0,Cold
HD 24064 b,0,Hot
HD 24085 b,0,
HD 25015 b,0,Cold
HD 25171 b,0,Cold
HD 2638 b,0,Hot
HD 2685 b,0,Hot
HD 26965 b,0,Hot
HD 27442 b,0,Hot
HD 27631 b,0,Cold
HD 27894 b,0,
HD 27894 c,0,
HD 27894 d,0,
HD 28185 b,2,Warm
HD 28254 b,2,Warm
HD 285507 b,0,Hot
HD 285968 b,0,Hot
HD 28678 b,0,Hot
HD 29021 b,0,Cold
HD 290327 b,0,Cold
HD 2952 b,0,Hot
HD 30177 b,0,Cold
HD 30177 c,0,Cold
HD 30562 b,2,Warm
HD 30669 b,0,Cold
HD 30856 b,0,Hot
HD 31253 b,0,Hot
HD 31527 b,0,Hot
HD 31527 c,0,Hot
HD 31527 d,1,Warm
HD 3167 b,0,Hot
HD 3167 c,0,Hot
HD 3167 d,0,Hot
HD 32518 b,0,Hot
HD 32963 b,0,Cold
HD 330075 b,0,Hot
HD 33142 b,0,Hot
HD 33142 c,0,Hot
HD 33283 b,0,Hot
HD 33564 b,0,Hot
HD 33844 b,0,Hot
HD 33844 c,0,Hot
HD 34445 b,2,Warm
HD 34445 c,0,Hot
HD 34445 d,0,Hot
HD 34445 e,0,Hot
HD 34445 f,2,Warm
HD 34445 g,0,Cold
HD 35759 b,0,Hot
HD 3651 b,0,Hot
HD 37124 b,0,
HD 37124 c,0,
HD 37124 d,0,
HD 37605 b,0,Hot
HD 37605 c,0,Cold
HD 38283 b,0,Hot
HD 38529 b,0,Hot
HD 38529 c,2,Warm
HD 38801 b,1,Warm
HD 39091 b,0,Cold
HD 39855 b,0,
HD 40307 b,0,Hot
HD 40307 c,0,Hot
HD 40307 d,0,Hot
HD 40307 f,0,Hot
HD 40307 g,2,Warm
HD 40956 b,0,Hot
HD 40979 b,0,Hot
HD 41004 A b,0,Cold
HD 41004 B b,0,
HD 4113 b,2,Warm
HD 42012 b,0,Cold
HD 4203 b,1,Warm
HD 4203 c,0,Cold
HD 4208 b,0,Cold
HD 42618 b,0,Hot
HD 4308 b,0,Hot
HD 4313 b,0,Hot
HD 43197 b,2,Warm
HD 43691 b,0,Hot
HD 44219 b,2,Warm
HD 45184 b,0,Hot
HD 45184 c,0,Hot
HD 45350 b,0,Cold
HD 45364 b,1,Warm
HD 45364 c,2,Warm
HD 45652 b,0,Hot
HD 46375 b,0,Hot
HD 47186 b,0,Hot
HD 47186 c,0,Cold
HD 4732 b,0,Hot
HD 4732 c,2,Warm
HD 47366 b,0,Hot
HD 47366 c,0,Hot
HD 47536 b,0,Hot
HD 48265 b,2,Warm
HD 4917 b,0,Hot
HD 49674 b,0,Hot
HD 50499 b,0,Cold
HD 50499 c,0,Cold
HD 50554 b,0,Cold
HD 51608 b,0,Hot
HD 51608 c,0,Hot
HD 52265 b,0,Hot
HD 5319 b,0,Hot
HD 5319 c,0,Hot
HD 55696 b,0,Cold
HD 5583 b,0,Hot
HD 5608 b,0,Hot
HD 564 b,2,Warm
HD 5891 b,0,Hot
HD 59686 A b,0,Hot
HD 60532 b,0,Hot
HD 60532 c,0,Hot
HD 62509 b,0,Hot
HD 63454 b,0,Hot
HD 63765 b,2,Warm
HD 64114 b,0,
HD 6434 b,0,Hot
HD 65216 b,2,Warm
HD 65216 c,0,Cold
HD 66141 b,0,Hot
HD 66428 b,0,Cold
HD 67087 b,0,Hot
HD 67087 c,0,Cold
HD 6718 b,0,Cold
HD 68402 b,0,Cold
HD 68988 b,0,Hot
HD 69830 b,0,
HD 69830 c,0,
HD 69830 d,0,
